"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2024","240,500","238,000","244,500","237,000","162.24K","0.42%"
"01/03/2024","239,500","238,000","243,000","236,500","144.62K","-0.83%"
"01/02/2024","241,500","233,000","245,000","232,500","234.26K","3.43%"
"12/28/2023","233,500","233,500","234,500","230,000","100.18K","0.86%"
"12/27/2023","231,500","227,500","233,500","225,500","116.58K","2.21%"
"12/26/2023","226,500","230,500","231,000","223,500","137.47K","-1.52%"
"12/25/2023","230,000","230,000","230,000","230,000","","0.00%"
"12/22/2023","230,000","232,000","235,500","229,500","123.13K","-0.22%"
"12/21/2023","230,500","231,500","234,000","229,000","148.14K","-1.71%"
"12/20/2023","234,500","241,000","241,000","231,000","186.53K","-1.88%"
"12/19/2023","239,000","242,000","248,500","238,000","192.65K","-1.04%"
"12/18/2023","241,500","237,500","242,000","236,500","156.06K","1.26%"
"12/15/2023","238,500","235,000","241,500","232,000","209.03K","2.36%"
"12/14/2023","233,000","236,500","245,500","232,500","485.94K","-0.21%"
"12/13/2023","233,500","233,500","236,000","227,000","185.20K","-0.21%"
"12/12/2023","234,000","236,000","238,000","229,500","188.78K","-1.68%"
"12/11/2023","238,000","237,500","240,000","235,000","163.04K","0.21%"
"12/10/2023","237,500","237,500","237,500","237,500","","0.00%"
"12/08/2023","237,500","227,000","239,500","225,000","317.18K","3.94%"
"12/07/2023","228,500","226,000","230,500","221,500","210.53K","0.00%"
"12/06/2023","228,500","215,500","231,000","213,500","622.08K","7.28%"
"12/05/2023","213,000","208,000","216,500","207,500","208.90K","1.91%"
"12/04/2023","209,000","210,500","212,500","208,000","137.44K","-1.18%"
"12/03/2023","211,500","211,500","211,500","211,500","","0.00%"
"12/01/2023","211,500","214,500","221,000","211,000","227.28K","-1.86%"
"11/30/2023","215,500","213,500","215,500","207,500","321.90K","0.23%"
"11/29/2023","215,000","213,000","215,500","211,500","152.36K","0.94%"
"11/28/2023","213,000","213,000","214,000","210,000","156.04K","0.47%"
"11/27/2023","212,000","212,500","213,000","207,000","165.35K","0.71%"
"11/26/2023","210,500","210,500","210,500","210,500","","0.00%"
"11/24/2023","210,500","210,000","212,500","207,000","161.35K","-0.71%"
"11/23/2023","212,000","199,000","212,000","199,000","432.13K","6.00%"
"11/22/2023","200,000","199,200","202,500","197,100","170.70K","0.40%"
"11/21/2023","199,200","193,400","201,000","193,400","286.19K","3.00%"
"11/20/2023","193,400","190,400","195,500","190,300","378.13K","1.63%"
"11/19/2023","190,300","190,300","190,300","190,300","","0.00%"
"11/17/2023","190,300","205,500","207,500","188,400","845.65K","-7.40%"
"11/16/2023","205,500","212,500","212,500","205,500","198.59K","-2.61%"
"11/15/2023","211,000","209,500","211,500","206,000","288.73K","3.18%"
"11/14/2023","204,500","204,500","207,500","201,500","208.33K","0.99%"
"11/13/2023","202,500","214,000","217,000","202,500","401.85K","-4.48%"
"11/10/2023","212,000","209,500","214,000","209,000","330.42K","0.00%"
"11/09/2023","212,000","216,000","217,000","206,500","538.84K","-2.08%"
"11/08/2023","216,500","219,000","223,500","214,500","453.92K","0.46%"
"11/07/2023","215,500","212,000","220,000","208,000","1.19M","-5.27%"
"11/06/2023","227,500","222,500","227,500","217,000","347.27K","5.32%"
"11/03/2023","216,000","231,500","231,500","213,000","444.60K","-5.05%"
"11/02/2023","227,500","235,000","243,000","220,500","604.15K","-1.30%"
"11/01/2023","230,500","220,000","231,000","214,000","258.71K","5.01%"
"10/31/2023","219,500","223,500","225,500","216,000","130.46K","0.00%"
"10/30/2023","219,500","210,000","222,000","210,000","143.56K","3.54%"
"10/29/2023","212,000","212,000","212,000","212,000","","0.00%"
"10/27/2023","212,000","210,000","218,500","209,000","310.81K","3.92%"
"10/26/2023","204,000","221,500","222,000","202,000","880.61K","-10.72%"
"10/25/2023","228,500","233,000","235,500","227,000","140.03K","-1.30%"
"10/24/2023","231,500","232,500","235,500","226,000","105.51K","1.09%"
"10/23/2023","229,000","224,500","234,500","224,500","140.50K","2.00%"
"10/22/2023","224,500","224,500","224,500","224,500","","0.00%"
"10/20/2023","224,500","224,000","228,000","222,000","129.27K","-1.32%"
"10/19/2023","227,500","230,000","233,500","227,000","115.37K","-2.78%"
"10/18/2023","234,000","236,500","240,000","233,500","85.88K","-1.47%"
"10/17/2023","237,500","243,000","245,000","237,000","122.46K","-1.04%"
"10/16/2023","240,000","243,000","243,000","238,000","106.18K","-1.84%"
"10/15/2023","244,500","244,500","244,500","244,500","","0.00%"
"10/13/2023","244,500","244,000","247,500","242,000","126.17K","-0.61%"
"10/12/2023","246,000","231,500","246,500","230,000","307.33K","7.66%"
"10/11/2023","228,500","227,000","231,500","226,000","135.43K","2.24%"
"10/10/2023","223,500","232,500","235,000","222,500","169.92K","-2.40%"
"10/09/2023","229,000","229,000","229,000","229,000","","0.00%"
"10/06/2023","229,000","227,000","235,500","227,000","117.88K","0.88%"
"10/05/2023","227,000","225,500","233,000","224,000","151.69K","2.02%"
"10/04/2023","222,500","236,500","237,000","221,000","267.65K","-6.51%"
"10/03/2023","238,000","238,000","238,000","238,000","","0.00%"
"09/27/2023","238,000","239,500","240,500","236,000","130.50K","-1.86%"
"09/26/2023","242,500","240,000","246,000","238,500","131.83K","0.00%"
"09/25/2023","242,500","226,500","244,000","226,500","303.44K","5.21%"
"09/24/2023","230,500","230,500","230,500","230,500","","0.00%"
"09/22/2023","230,500","227,000","235,000","223,000","171.62K","0.00%"
"09/21/2023","230,500","243,000","243,000","230,000","358.64K","-5.14%"
"09/20/2023","243,000","243,000","246,000","237,000","196.29K","-0.82%"
"09/19/2023","245,000","240,500","245,500","239,500","116.08K","1.45%"
"09/18/2023","241,500","243,500","247,000","241,000","145.18K","-1.23%"
"09/17/2023","244,500","244,500","244,500","244,500","","0.00%"
"09/15/2023","244,500","244,500","246,500","240,000","136.84K","-0.61%"
"09/14/2023","246,000","244,000","247,000","240,500","142.88K","1.65%"
"09/13/2023","242,000","246,500","248,000","240,000","156.47K","-2.22%"
"09/12/2023","247,500","245,000","253,000","242,000","163.66K","1.23%"
"09/11/2023","244,500","244,500","246,000","238,500","123.99K","-0.41%"
"09/10/2023","245,500","245,500","245,500","245,500","","0.00%"
"09/08/2023","245,500","245,500","248,000","241,000","135.20K","0.00%"
"09/07/2023","245,500","247,000","252,000","243,000","129.84K","-1.60%"
"09/06/2023","249,500","251,000","252,500","247,000","78.52K","-0.60%"
"09/05/2023","251,000","251,000","252,500","248,000","83.73K","0.20%"
"09/04/2023","250,500","249,000","255,000","245,000","108.73K","0.60%"
"09/03/2023","249,000","249,000","249,000","249,000","","0.00%"
"09/01/2023","249,000","252,000","255,000","249,000","166.81K","-1.39%"
"08/31/2023","252,500","246,000","254,500","245,500","239.62K","2.85%"
"08/30/2023","245,500","252,000","253,500","245,500","170.98K","-2.19%"
"08/29/2023","251,000","247,000","251,500","240,000","225.89K","2.66%"
"08/28/2023","244,500","237,000","245,000","234,500","157.86K","3.16%"
"08/27/2023","237,000","237,000","237,000","237,000","","0.00%"
"08/25/2023","237,000","229,500","238,500","229,000","143.61K","1.94%"
"08/24/2023","232,500","232,500","236,000","231,500","154.49K","-0.64%"
"08/23/2023","234,000","240,500","244,000","232,500","189.24K","-0.85%"
"08/22/2023","236,000","240,000","240,500","236,000","142.27K","-1.05%"
"08/21/2023","238,500","236,500","241,500","236,500","141.10K","0.85%"
"08/20/2023","236,500","236,500","236,500","236,500","","0.00%"
"08/18/2023","236,500","236,500","241,500","235,500","178.22K","-1.25%"
"08/17/2023","239,500","240,500","243,000","233,000","259.11K","-0.62%"
"08/16/2023","241,000","251,500","253,000","241,000","300.67K","-4.37%"
"08/15/2023","252,000","252,000","252,000","252,000","","0.00%"
"08/14/2023","252,000","250,000","255,000","249,000","201.05K","-1.18%"
"08/13/2023","255,000","255,000","255,000","255,000","","0.00%"
"08/11/2023","255,000","256,500","257,500","251,000","206.91K","-0.58%"
"08/10/2023","256,500","260,500","263,500","252,500","396.09K","-1.16%"
"08/09/2023","259,500","266,000","266,500","254,000","542.13K","-4.60%"
"08/08/2023","272,000","277,500","290,500","259,000","1.04M","-0.91%"
"08/07/2023","274,500","268,000","277,500","267,500","341.94K","0.92%"
"08/06/2023","272,000","272,000","272,000","272,000","","0.00%"
"08/04/2023","272,000","249,000","272,000","249,000","631.09K","9.68%"
"08/03/2023","248,000","253,500","256,500","246,000","219.62K","-1.59%"
"08/02/2023","252,000","251,500","258,500","248,000","241.64K","-0.79%"
"08/01/2023","254,000","261,000","261,500","250,500","378.48K","-3.24%"
"07/31/2023","262,500","259,500","264,000","258,000","182.87K","1.55%"
"07/28/2023","258,500","259,000","264,500","254,000","181.27K","-1.15%"
"07/27/2023","261,500","258,000","266,500","258,000","262.26K","1.75%"
"07/26/2023","257,000","274,500","274,500","257,000","402.19K","-5.17%"
"07/25/2023","271,000","264,000","278,500","262,000","515.14K","3.44%"
"07/24/2023","262,000","256,500","265,000","256,000","309.93K","2.14%"
"07/23/2023","256,500","256,500","256,500","256,500","","0.00%"
"07/21/2023","256,500","267,500","268,000","255,000","455.73K","-4.65%"
"07/20/2023","269,000","264,000","272,500","260,500","249.69K","2.09%"
"07/19/2023","263,500","266,500","266,500","255,000","207.27K","-0.38%"
"07/18/2023","264,500","268,500","270,000","263,000","210.06K","0.00%"
"07/17/2023","264,500","259,500","270,500","258,500","411.10K","3.12%"
"07/16/2023","256,500","256,500","256,500","256,500","","0.00%"
"07/14/2023","256,500","261,500","263,500","254,000","283.13K","-0.97%"
"07/13/2023","259,000","264,500","264,500","250,500","725.84K","-1.52%"
"07/12/2023","263,000","272,000","272,500","261,500","300.29K","-2.59%"
"07/11/2023","270,000","267,000","273,500","266,500","253.32K","1.12%"
"07/10/2023","267,000","286,000","288,000","264,000","561.16K","-6.64%"
"07/09/2023","286,000","286,000","286,000","286,000","","0.00%"
"07/07/2023","286,000","280,000","289,500","280,000","276.51K","2.33%"
"07/06/2023","279,500","280,500","284,500","276,000","212.77K","-0.36%"
"07/05/2023","280,500","284,500","285,000","276,000","224.61K","-1.92%"
"07/04/2023","286,000","280,500","291,000","276,500","325.21K","2.33%"
"07/03/2023","279,500","282,500","284,500","273,000","262.37K","-0.71%"
"07/02/2023","281,500","281,500","281,500","281,500","","0.00%"
"06/30/2023","281,500","280,500","284,500","276,000","204.97K","0.72%"
"06/29/2023","279,500","284,000","291,000","278,000","186.24K","-1.93%"
"06/28/2023","285,000","294,500","294,500","284,000","165.28K","-2.40%"
"06/27/2023","292,000","298,500","298,500","285,500","288.32K","-2.01%"
"06/26/2023","298,000","299,000","303,500","296,000","124.03K","-1.00%"
"06/25/2023","301,000","301,000","301,000","301,000","","0.00%"
"06/23/2023","301,000","307,000","308,500","297,500","244.04K","-1.95%"
"06/22/2023","307,000","295,000","312,500","291,000","559.17K","3.54%"
"06/21/2023","296,500","300,500","303,500","294,500","233.05K","-1.33%"
"06/20/2023","300,500","299,500","303,500","298,000","220.99K","0.00%"
"06/19/2023","300,500","298,500","306,500","295,000","220.82K","1.01%"
"06/18/2023","297,500","297,500","297,500","297,500","","0.00%"
"06/16/2023","297,500","302,500","303,000","295,000","211.70K","-1.00%"
"06/15/2023","300,500","296,000","302,500","295,500","328.55K","2.91%"
"06/14/2023","292,000","295,000","307,500","288,500","446.62K","-0.68%"
"06/13/2023","294,000","294,500","296,500","289,000","208.15K","0.00%"
"06/12/2023","294,000","284,500","295,000","281,000","385.89K","4.81%"
"06/11/2023","280,500","280,500","280,500","280,500","","0.00%"
"06/09/2023","280,500","270,500","286,500","269,000","429.18K","4.66%"
"06/08/2023","268,000","267,500","271,000","265,000","150.81K","-0.37%"
"06/07/2023","269,000","265,000","272,000","265,000","174.23K","1.51%"
"06/05/2023","265,000","270,000","271,000","264,000","163.30K","-1.85%"
"06/04/2023","270,000","270,000","270,000","270,000","","0.00%"
"06/02/2023","270,000","276,000","278,000","263,500","379.28K","-2.70%"
"06/01/2023","277,500","274,000","283,000","272,500","272.95K","1.28%"
"05/31/2023","274,000","272,500","279,000","270,000","250.27K","-0.72%"
"05/30/2023","276,000","270,500","278,500","265,500","197.64K","2.22%"
"05/26/2023","270,000","264,500","272,000","263,000","191.61K","1.12%"
"05/25/2023","267,000","263,000","272,000","262,500","181.93K","-0.19%"
"05/24/2023","267,500","278,000","278,500","263,500","306.20K","-2.01%"
"05/23/2023","273,000","271,000","273,500","267,500","205.41K","1.49%"
"05/22/2023","269,000","281,000","281,000","261,000","481.66K","-4.27%"
"05/21/2023","281,000","281,000","281,000","281,000","","0.00%"
"05/19/2023","281,000","286,000","288,500","276,500","204.33K","-1.75%"
"05/18/2023","286,000","292,500","294,000","284,500","159.24K","-2.05%"
"05/17/2023","292,000","285,000","295,000","282,500","371.43K","2.82%"
"05/16/2023","284,000","279,000","288,000","276,500","296.31K","1.97%"
"05/15/2023","278,500","280,000","289,500","276,500","156.03K","-1.24%"
"05/14/2023","282,000","282,000","282,000","282,000","","0.00%"
"05/12/2023","282,000","280,500","287,500","277,500","242.61K","1.62%"
"05/11/2023","277,500","281,000","282,000","269,000","205.80K","-0.72%"
"05/10/2023","279,500","277,500","282,500","271,000","170.87K","0.72%"
"05/09/2023","277,500","278,000","283,000","273,000","181.64K","-0.54%"
"05/08/2023","279,000","290,000","294,500","276,000","307.24K","-4.62%"
"05/07/2023","292,500","292,500","292,500","292,500","","0.00%"
"05/04/2023","292,500","295,000","298,000","284,000","256.90K","-0.68%"
"05/03/2023","294,500","285,500","303,000","285,000","571.17K","3.51%"
"05/02/2023","284,500","270,500","285,000","269,000","444.69K","5.37%"
"05/01/2023","270,000","270,000","270,000","270,000","","0.00%"
"04/28/2023","270,000","264,000","277,000","263,000","246.96K","2.27%"
"04/27/2023","264,000","265,000","269,000","259,500","174.15K","-0.38%"
"04/26/2023","265,000","260,000","270,000","259,500","265.37K","1.73%"
"04/25/2023","260,500","261,000","265,000","257,000","191.58K","0.58%"
"04/24/2023","259,000","250,000","262,000","247,500","269.62K","3.60%"
"04/23/2023","250,000","250,000","250,000","250,000","","0.00%"
"04/21/2023","250,000","255,500","258,500","243,500","230.28K","-2.72%"
"04/20/2023","257,000","250,500","267,000","242,500","433.64K","2.19%"
"04/19/2023","251,500","260,500","261,500","249,500","238.59K","-2.71%"
"04/18/2023","258,500","262,000","270,000","256,500","245.46K","-0.58%"
"04/17/2023","260,000","265,000","270,000","254,500","346.88K","0.39%"
"04/16/2023","259,000","259,000","259,000","259,000","","0.00%"
"04/14/2023","259,000","246,000","263,000","245,500","622.92K","5.71%"
"04/13/2023","245,000","238,000","249,500","231,500","510.68K","4.03%"
"04/12/2023","235,500","223,500","237,000","222,500","319.78K","4.90%"
"04/11/2023","224,500","222,500","227,000","216,000","222.84K","1.13%"
"04/10/2023","222,000","218,500","223,000","215,000","264.38K","2.30%"
"04/09/2023","217,000","217,000","217,000","217,000","","0.00%"
"04/07/2023","217,000","206,000","219,000","200,500","491.83K","5.85%"
"04/06/2023","205,000","190,300","212,500","190,300","859.22K","7.50%"
"04/05/2023","190,700","190,200","191,300","188,200","113.99K","0.21%"
"04/04/2023","190,300","184,900","190,900","184,500","190.86K","3.42%"
"04/03/2023","184,000","188,000","189,500","183,700","140.49K","-2.59%"
"04/02/2023","188,900","188,900","188,900","188,900","","0.00%"
"03/31/2023","188,900","189,000","191,300","185,300","137.11K","0.48%"
"03/30/2023","188,000","189,900","192,000","187,000","128.77K","-1.10%"
"03/29/2023","190,100","186,000","191,300","186,000","169.30K","1.49%"
"03/28/2023","187,300","181,400","187,800","178,900","195.35K","2.86%"
"03/27/2023","182,100","186,400","188,600","177,900","235.24K","-2.88%"
"03/26/2023","187,500","187,500","187,500","187,500","","0.00%"
"03/24/2023","187,500","187,000","190,600","184,800","158.69K","-0.48%"
"03/23/2023","188,400","190,000","191,000","185,400","179.74K","-1.00%"
"03/22/2023","190,300","189,200","191,200","188,100","125.10K","0.37%"
"03/21/2023","189,600","186,500","191,300","186,100","286.28K","3.04%"
"03/20/2023","184,000","179,300","188,000","179,300","230.81K","2.56%"
"03/19/2023","179,400","179,400","179,400","179,400","","0.00%"
"03/17/2023","179,400","176,600","183,100","176,500","200.68K","1.64%"
"03/16/2023","176,500","172,000","178,000","171,000","233.99K","1.73%"
"03/15/2023","173,500","176,400","176,400","170,300","241.72K","-0.12%"
"03/14/2023","173,700","187,700","189,300","173,000","426.16K","-8.39%"
"03/13/2023","189,600","185,600","196,600","182,600","847.79K","3.21%"
"03/12/2023","183,700","183,700","183,700","183,700","","0.00%"
"03/10/2023","183,700","174,100","189,800","173,900","503.18K","4.08%"
"03/09/2023","176,500","177,800","179,500","174,800","212.59K","-0.40%"
"03/08/2023","177,200","188,500","189,900","175,400","472.29K","-5.99%"
"03/07/2023","188,500","186,900","191,000","184,000","306.58K","-1.72%"
"03/06/2023","191,800","194,200","195,900","189,400","353.05K","2.35%"
"03/05/2023","187,400","187,400","187,400","187,400","","0.00%"
"03/03/2023","187,400","185,200","188,900","185,200","114.56K","0.21%"
"03/02/2023","187,000","185,100","189,900","182,500","207.74K","1.03%"
"03/01/2023","185,100","185,100","185,100","185,100","","0.00%"
"02/28/2023","185,100","184,000","190,000","183,000","349.43K","1.48%"
"02/27/2023","182,400","181,000","185,200","178,100","291.26K","-0.44%"
"02/26/2023","183,200","183,200","183,200","183,200","","0.00%"
"02/24/2023","183,200","187,600","188,200","182,700","226.03K","-2.40%"
"02/23/2023","187,700","192,000","192,100","187,600","227.15K","0.00%"
"02/22/2023","187,700","183,900","192,900","183,800","603.00K","3.08%"
"02/21/2023","182,100","183,800","184,500","180,900","170.43K","-1.30%"
"02/20/2023","184,500","181,000","188,100","181,000","325.92K","1.37%"
"02/19/2023","182,000","182,000","182,000","182,000","","0.00%"
"02/17/2023","182,000","189,400","189,400","179,900","558.08K","-4.46%"
"02/16/2023","190,500","194,100","196,200","189,800","576.25K","-3.40%"
"02/15/2023","197,200","199,900","201,500","192,500","571.21K","-2.38%"
"02/14/2023","202,000","191,300","203,000","189,900","855.65K","6.88%"
"02/13/2023","189,000","204,000","204,500","188,800","725.51K","-3.23%"
"02/12/2023","195,300","195,300","195,300","195,300","","0.00%"
"02/10/2023","195,300","212,500","218,500","193,800","2.10M","-1.51%"
"02/09/2023","198,300","198,000","205,500","196,800","322.68K","0.35%"
"02/08/2023","197,600","189,600","200,000","189,600","419.69K","4.27%"
"02/07/2023","189,500","188,800","190,600","184,300","239.06K","0.37%"
"02/06/2023","188,800","195,400","195,500","188,800","205.08K","-3.48%"
"02/05/2023","195,600","195,600","195,600","195,600","","0.00%"
"02/03/2023","195,600","187,900","197,200","187,100","285.26K","4.10%"
"02/02/2023","187,900","189,700","192,000","187,300","186.94K","-0.84%"
"02/01/2023","189,500","189,500","191,500","188,500","127.69K","-1.15%"
"01/31/2023","191,700","186,100","193,500","185,700","245.03K","1.48%"
"01/30/2023","188,900","194,900","196,000","187,700","217.93K","-2.63%"
"01/29/2023","194,000","194,000","194,000","194,000","","0.00%"
"01/27/2023","194,000","192,200","194,800","189,000","189.97K","1.89%"
"01/26/2023","190,400","187,000","194,200","186,200","291.75K","2.15%"
"01/25/2023","186,400","188,000","188,500","185,000","152.40K","-0.32%"
"01/24/2023","187,000","187,000","187,000","187,000","","0.00%"
"01/20/2023","187,000","187,500","191,000","186,000","180.09K","-0.53%"
"01/19/2023","188,000","179,500","189,000","179,500","398.11K","5.03%"
"01/18/2023","179,000","177,500","182,000","176,000","211.55K","1.13%"
"01/17/2023","177,000","178,500","180,500","176,000","166.60K","-0.84%"
"01/16/2023","178,500","173,500","179,000","173,000","222.25K","2.29%"
"01/15/2023","174,500","174,500","174,500","174,500","","0.00%"
"01/13/2023","174,500","174,000","177,500","173,000","144.84K","0.87%"
"01/12/2023","173,000","174,500","177,000","171,500","166.60K","-0.86%"
"01/11/2023","174,500","172,000","176,000","167,000","199.86K","2.35%"
"01/10/2023","170,500","173,500","175,000","169,500","178.41K","-1.73%"
"01/09/2023","173,500","170,500","176,500","170,500","204.37K","3.27%"
"01/08/2023","168,000","168,000","168,000","168,000","","0.00%"
"01/06/2023","168,000","170,000","172,000","160,500","492.71K","-2.33%"
"01/05/2023","172,000","172,000","177,000","171,000","171.82K","0.29%"
"01/04/2023","171,500","176,500","177,000","169,000","250.02K","-2.83%"
"01/03/2023","176,500","170,000","182,000","170,000","522.01K","4.13%"
"01/02/2023","169,500","174,500","176,000","166,500","182.35K","-2.31%"
"12/29/2022","173,500","168,000","175,500","168,000","193.76K","2.06%"
"12/28/2022","170,000","170,000","171,500","166,500","174.31K","-0.29%"
"12/27/2022","170,500","173,000","175,000","168,000","201.51K","-0.58%"
"12/26/2022","171,500","173,500","174,500","169,000","190.08K","-2.00%"
"12/25/2022","175,000","175,000","175,000","175,000","","0.00%"
"12/23/2022","175,000","173,000","179,500","172,500","281.93K","0.00%"
"12/22/2022","175,000","169,500","177,000","169,000","340.31K","3.55%"
"12/21/2022","169,000","165,000","169,000","160,500","228.49K","4.00%"
"12/20/2022","162,500","167,000","168,500","161,000","166.18K","-2.69%"
"12/19/2022","167,000","164,500","169,000","162,000","202.11K","1.83%"
"12/18/2022","164,000","164,000","164,000","164,000","","0.00%"
"12/16/2022","164,000","153,500","166,500","153,000","318.50K","4.13%"
"12/15/2022","157,500","161,500","165,000","155,500","236.59K","-3.37%"
"12/14/2022","163,000","156,500","164,500","156,500","261.65K","4.82%"
"12/13/2022","155,500","157,500","159,000","154,500","179.20K","-0.96%"
"12/12/2022","157,000","155,000","162,500","154,000","247.87K","0.32%"
"12/11/2022","156,500","156,500","156,500","156,500","","0.00%"
"12/09/2022","156,500","147,500","158,500","147,000","402.17K","7.93%"
"12/08/2022","145,000","145,500","147,500","141,500","128.11K","0.00%"
"12/07/2022","145,000","144,500","149,000","143,000","113.18K","0.00%"
"12/06/2022","145,000","150,500","150,500","145,000","165.92K","-4.61%"
"12/05/2022","152,000","151,500","155,500","150,500","172.30K","0.66%"
"12/02/2022","151,000","153,500","154,000","150,000","151.89K","-1.63%"
"12/01/2022","153,500","147,000","156,000","145,500","393.14K","7.34%"
"11/30/2022","143,000","143,500","144,500","140,500","124.89K","-0.69%"
"11/29/2022","144,000","137,000","146,000","137,000","168.36K","4.35%"
"11/28/2022","138,000","139,000","140,000","135,500","113.29K","-0.72%"
"11/25/2022","139,000","142,000","144,000","138,500","137.29K","-2.80%"
"11/24/2022","143,000","142,000","144,000","139,000","134.73K","1.42%"
"11/23/2022","141,000","135,000","143,500","134,500","201.45K","6.82%"
"11/22/2022","132,000","136,500","138,500","131,500","108.13K","-4.00%"
"11/21/2022","137,500","139,500","143,000","135,500","166.35K","0.36%"
"11/18/2022","137,000","143,000","146,000","137,000","145.47K","-4.20%"
"11/17/2022","143,000","140,000","147,000","140,000","209.46K","1.78%"
"11/16/2022","140,500","140,000","142,500","138,000","162.85K","1.81%"
"11/15/2022","138,000","134,500","139,000","134,500","104.95K","1.85%"
"11/14/2022","135,500","139,500","141,000","135,000","185.46K","-3.90%"
"11/11/2022","141,000","133,500","144,000","133,000","412.09K","11.46%"
"11/10/2022","126,500","126,000","130,000","126,000","160.97K","-3.07%"
"11/09/2022","130,500","131,000","133,000","129,500","167.11K","0.77%"
"11/08/2022","129,500","125,500","129,500","123,500","173.67K","4.86%"
"11/07/2022","123,500","121,500","125,500","121,500","73.22K","0.82%"
"11/06/2022","122,500","122,500","122,500","122,500","","0.00%"
"11/04/2022","122,500","122,500","124,000","119,500","162.64K","-1.61%"
"11/03/2022","124,500","123,500","129,000","120,500","275.54K","-1.97%"
"11/02/2022","127,000","121,000","129,000","119,500","201.21K","4.10%"
"11/01/2022","122,000","121,000","124,000","120,000","140.47K","0.83%"
"10/31/2022","121,000","121,500","123,000","118,500","146.96K","1.68%"
"10/30/2022","119,000","119,000","119,000","119,000","","0.00%"
"10/28/2022","119,000","119,000","123,500","118,000","158.11K","0.00%"
"10/27/2022","119,000","117,000","121,000","116,500","146.66K","3.48%"
"10/26/2022","115,000","118,000","119,500","115,000","119.53K","-2.54%"
"10/25/2022","118,000","114,500","119,000","113,500","179.24K","4.42%"
"10/24/2022","113,000","114,500","116,500","112,500","152.30K","0.44%"
"10/23/2022","112,500","112,500","112,500","112,500","","0.00%"
"10/21/2022","112,500","111,000","113,000","108,500","215.91K","-0.44%"
"10/20/2022","113,000","118,500","119,000","111,500","308.71K","-4.64%"
"10/19/2022","118,500","121,500","125,000","118,000","237.11K","-1.66%"
"10/18/2022","120,500","116,500","124,000","115,500","559.11K","4.78%"
"10/17/2022","115,000","113,500","117,000","109,500","338.00K","-2.54%"
"10/16/2022","118,000","118,000","118,000","118,000","","0.00%"
"10/14/2022","118,000","111,500","119,000","111,500","435.20K","7.76%"
"10/13/2022","109,500","113,000","114,000","107,000","393.44K","-4.37%"
"10/12/2022","114,500","116,500","118,500","111,000","418.75K","-3.38%"
"10/11/2022","118,500","119,000","120,500","114,500","324.78K","-3.66%"
"10/10/2022","123,000","123,000","123,000","123,000","","0.00%"
"10/07/2022","123,000","129,500","130,000","121,000","363.17K","-6.11%"
"10/06/2022","131,000","129,500","133,000","129,000","151.17K","0.77%"
"10/05/2022","130,000","137,000","137,500","127,000","298.48K","-3.35%"
"10/04/2022","134,500","137,000","138,000","134,000","135.20K","-0.37%"
"09/30/2022","135,000","130,000","136,000","129,500","172.87K","2.27%"
"09/29/2022","132,000","131,500","137,000","130,500","217.19K","1.54%"
"09/28/2022","130,000","138,000","139,000","129,000","321.07K","-7.14%"
"09/27/2022","140,000","140,500","142,000","137,000","218.84K","-0.71%"
"09/26/2022","141,000","141,000","145,500","138,500","204.30K","-2.08%"
"09/25/2022","144,000","144,000","144,000","144,000","","0.00%"
"09/23/2022","144,000","147,000","149,000","143,000","144.09K","-3.36%"
"09/22/2022","149,000","152,000","153,000","146,000","197.27K","-4.18%"
"09/21/2022","155,500","156,500","159,500","153,500","130.62K","-1.27%"
"09/20/2022","157,500","158,500","161,500","157,000","116.28K","0.00%"
"09/19/2022","157,500","158,000","164,000","156,500","291.89K","2.27%"
"09/18/2022","154,000","154,000","154,000","154,000","","0.00%"
"09/16/2022","154,000","155,500","158,000","153,500","119.97K","-0.96%"
"09/15/2022","155,500","158,500","159,000","154,500","141.47K","-1.89%"
"09/14/2022","158,500","154,500","160,000","153,500","171.68K","-2.16%"
"09/13/2022","162,000","161,000","165,000","160,500","197.19K","2.53%"
"09/08/2022","158,000","158,000","161,000","157,500","160.49K","0.00%"
"09/07/2022","158,000","158,500","161,000","155,000","239.65K","-1.56%"
"09/06/2022","160,500","168,000","170,000","160,000","300.01K","-4.18%"
"09/05/2022","167,500","167,000","175,000","167,000","187.57K","-0.59%"
"09/04/2022","168,500","168,500","168,500","168,500","","0.00%"
"09/02/2022","168,500","168,000","174,000","167,000","238.62K","1.20%"
"09/01/2022","166,500","178,500","178,500","165,500","417.30K","-8.26%"
"08/31/2022","181,500","168,000","183,000","167,000","480.35K","6.76%"
"08/30/2022","170,000","165,000","170,500","165,000","183.21K","3.34%"
"08/29/2022","164,500","167,000","171,500","164,500","316.75K","-6.27%"
"08/28/2022","175,500","175,500","175,500","175,500","","0.00%"
"08/26/2022","175,500","174,500","177,500","172,500","152.14K","1.15%"
"08/25/2022","173,500","176,000","178,500","172,500","196.24K","-1.42%"
"08/24/2022","176,000","173,000","176,500","169,000","195.59K","2.03%"
"08/23/2022","172,500","182,000","182,500","172,000","355.54K","-6.25%"
"08/22/2022","184,000","183,000","187,000","181,000","165.14K","-1.34%"
"08/21/2022","186,500","186,500","186,500","186,500","","0.00%"
"08/19/2022","186,500","188,500","196,000","185,000","371.45K","-0.80%"
"08/18/2022","188,000","183,500","189,500","180,000","233.56K","1.08%"
